ep,kind,rep_of,t_plus_s,t_minus_s,w_b_rpm,duty,period_s,w_hi_rpm,r_last,X_last,P_last_W,r_mean,X_mean,X_blocks,r_blocks,wall_min,worker,status
90,bo,-1,5.0,0.6,300.0,0.8928571428571429,5.6,330.4996575890485,0.28191062401510064,0.39861554599065696,3.7275552078992686,0.27540100528516076,0.3921059272607172,0.363491;0.396958;0.398222;0.403243;0.398616,0.246786;0.280253;0.281517;0.286538;0.281911,194.92412567536036,worker_27,ok
93,bo,-1,5.0,0.4,300.0,0.9259259259259258,5.4,319.6662702257797,0.29370305835892796,0.41059210890596987,3.733436274472518,0.28455020624228733,0.40143925678932924,0.369333;0.405503;0.410914;0.410854;0.410592,0.252444;0.288614;0.294025;0.293965;0.293703,193.25119632085165,worker_19,ok
109,bo,-1,5.0,5.0,300.0,0.5,10.0,520.0185693052504,0.23723619265079715,0.3517700958625202,3.6582128685824347,0.2389322604136082,0.35346616362533123,0.341471;0.355666;0.356702;0.361721;0.351770,0.226938;0.241132;0.242168;0.247188;0.237236,188.8277734676997,worker_39,ok
95,bo,-1,2.0113007768899243,0.1849860670902198,300.0,0.9157732663211763,2.196286843980144,325.4674437052934,0.28955325680159905,0.4066603038448133,3.7403990825602627,0.28121530634488356,0.39832235338809774,0.371202;0.403267;0.404102;0.406380;0.406660,0.254095;0.286160;0.286995;0.289273;0.289553,193.41008192300797,worker_25,ok
98,bo,-1,2.3600000000000003,0.2,300.0,0.9218750000000001,2.56,324.99316277043624,0.2916743282542586,0.4087412057822278,3.7391160682433364,0.2831377931165183,0.4002046706444875,0.371992;0.405418;0.406973;0.407899;0.408741,0.254925;0.288351;0.289906;0.290832;0.291674,192.97780012289684,worker_04,ok
91,bo,-1,4.92,0.6,300.0,0.891304347826087,5.52,330.4947297013438,0.28030558312466275,0.397009082029187,3.7275097550105043,0.27510116902041826,0.39180466792494245,0.362786;0.397982;0.396913;0.404334;0.397009,0.246082;0.281279;0.280209;0.287630;0.280306,195.72446978489558,worker_01,ok
100,bo,-1,2.504860160979597,0.18583972194804732,300.0,0.9309325714371971,2.6906998829276443,320.6237007588936,0.2792246858768006,0.39631356273441876,3.7398187268323237,0.27243913924419716,0.3895280161018154,0.365992;0.393051;0.396037;0.396247;0.396314,0.248903;0.275962;0.278948;0.279158;0.279225,193.44668547312418,worker_12,ok
99,bo,-1,2.2101138160954767,0.18318206914896107,300.0,0.9234603333928132,2.393295885244438,322.7315704178431,0.29008370028513386,0.4071873566292859,3.7402907836322155,0.2811396853934477,0.3982433417375998,0.371164;0.402608;0.404236;0.406021;0.407187,0.254060;0.285504;0.287132;0.288918;0.290084,194.43733675877255,worker_26,ok
94,bo,-1,1.014181184883443,0.37919460246834347,300.0,0.7278590557476021,1.3933757873517865,406.75468096461736,0.2806616322234231,0.397372813723838,3.7277551371232516,0.27280473008680756,0.3895159115872225,0.362552;0.391627;0.398106;0.397921;0.397373,0.245841;0.274916;0.281395;0.281210;0.280662,195.90452933311462,worker_07,ok
101,bo,-1,2.1352450146786746,0.16988061572529356,300.0,0.9263030988486635,2.305125630403968,323.22527551110926,0.2881985160350278,0.4053380504878831,3.7414367304241973,0.2805802871113042,0.39771982156415975,0.370304;0.402626;0.403571;0.406760;0.405338,0.253164;0.285487;0.286432;0.289620;0.288199,193.84723097483317,worker_32,ok
