t,Mz_kin,conv,cupC,wallFlux
49.018175,1.4053288e-08,0.34916363,32.541819,8.3558538e-09
49.019062,1.4055317e-08,0.36209361,31.89532,8.3771208e-09
49.019847,1.4055923e-08,0.37203891,31.398054,8.4014298e-09
49.020552,1.4055362e-08,0.3756875,31.215625,8.4208802e-09
49.021238,1.4053983e-08,0.37323663,31.338168,8.4331252e-09
49.021918,1.4052068e-08,0.36597418,31.701291,8.4369405e-09
49.02263,1.4049803e-08,0.3561266,32.19367,8.4334477e-09
49.023423,1.4047393e-08,0.34602514,32.698743,8.4242662e-09
49.02431,1.4045224e-08,0.33752541,33.12373,8.4107169e-09
49.025313,1.4043745e-08,0.33139106,33.430447,8.3937108e-09
49.026465,1.4043504e-08,0.32784936,33.607532,8.3742878e-09
49.027797,1.4045178e-08,0.3276037,33.619815,8.3554792e-09
49.029309,1.4049338e-08,0.33366314,33.316843,8.3476079e-09
49.030708,1.4054227e-08,0.34999641,32.500179,8.3691274e-09
49.031438,1.4055618e-08,0.36106307,31.946846,8.3902759e-09
49.032202,1.4055746e-08,0.36922098,31.538951,8.413725e-09
49.032879,1.4054799e-08,0.37061475,31.469262,8.4297348e-09
49.03356,1.4053116e-08,0.36638336,31.680832,8.4381226e-09
49.034247,1.4050988e-08,0.35831659,32.084171,8.4383834e-09
49.034994,1.4048579e-08,0.34875553,32.562224,8.4320573e-09
49.035827,1.4046194e-08,0.33994807,33.002597,8.4206111e-09
49.036765,1.4044246e-08,0.33313086,33.343457,8.4050952e-09
49.037834,1.4043222e-08,0.32860407,33.569797,8.3864203e-09
49.039073,1.4043748e-08,0.32672372,33.663814,8.3662535e-09
49.04049,1.4046487e-08,0.3293126,33.53437,8.3503388e-09
49.042086,1.4051853e-08,0.34199137,32.900432,8.3562761e-09
49.043037,1.4054447e-08,0.35584518,32.207741,8.3772576e-09
49.04381,1.4055288e-08,0.36689604,31.655198,8.3993863e-09
49.044526,1.405487e-08,0.37310433,31.344784,8.4168485e-09
49.04521,1.4053567e-08,0.37363884,31.318058,8.4289069e-09
49.045894,1.4051669e-08,0.36896573,31.551714,8.4350764e-09
